,Municipality,Province,Crop_Year,Season,Crop,Area,Production
0,Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0
1,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,641.0
2,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000.0
3,Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0
4,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000.0
5,Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84
6,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213.0,1278.0
7,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240.0,67490000.0
8,Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17
9,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266.0,1763.0
10,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Coconut,18284.74,68580000.0
11,Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57
12,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,66.42,404.12
13,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000.0
14,Andaman and Nicobar Islands,NICOBARS,2005,Kharif,Rice,2.09,12.06
15,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Banana,22.0,582.0
16,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Coconut,13876.57,52030000.0
17,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Banana,198.0,976.0
18,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Coconut,14358.0,59370000.0
19,Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Rice,3.5,10.0
20,Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Maize,3.84,18.22
21,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Banana,593.0,3425.0
22,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Coconut,14560.0,71300000.0
23,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,31863.0
24,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531.0,12073.0
25,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Coconut,6992.0,23900000.0
26,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,27033.0
27,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Coconut,7015.0,25250000.0
28,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,18995.62
29,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Banana,957.57,8582.0
30,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Coconut,3575.0,15400000.0
31,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,20118.0
32,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Maize,86.7,96.4
33,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Banana,657.0,7968.0
34,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,Coconut,3668.0,12700000.0
35,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,Rice,10695.8,31600.82
36,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Banana,1524.0,10882.0
37,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Coconut,7060.0,26830000.0
38,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,Rice,10509.37,30760.7
39,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Banana,1530.0,11558.0
40,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Coconut,7110.0,26660000.0
41,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,Rice,10681.98,29119.66
42,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Banana,1912.1,17374.4
43,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Coconut,7156.7,34750000.0
