,Municipality,Province,Season,Crop,Area,Production
0,0,423,1,11,102.0,321.0
1,0,423,4,0,176.0,641.0
2,0,423,4,2,18168.0,65100000.0
3,0,423,1,11,83.0,300.0
4,0,423,4,2,18190.0,64430000.0
5,0,423,1,11,189.2,510.84
6,0,423,4,0,213.0,1278.0
7,0,423,4,2,18240.0,67490000.0
8,0,423,1,11,52.0,90.17
9,0,423,4,0,266.0,1763.0
10,0,423,4,2,18284.74,68580000.0
11,0,423,1,11,52.94,72.57
12,0,423,4,0,66.42,404.12
13,0,423,4,2,18394.7,52380000.0
14,0,423,1,11,2.09,12.06
15,0,423,4,0,22.0,582.0
16,0,423,4,2,13876.57,52030000.0
17,0,423,4,0,198.0,976.0
18,0,423,4,2,14358.0,59370000.0
19,0,423,0,11,3.5,10.0
20,0,423,2,7,3.84,18.22
21,0,423,4,0,593.0,3425.0
22,0,423,4,2,14560.0,71300000.0
23,0,425,1,11,10779.0,31863.0
24,0,425,4,0,1531.0,12073.0
25,0,425,4,2,6992.0,23900000.0
26,0,425,1,11,9718.0,27033.0
27,0,425,4,2,7015.0,25250000.0
28,0,425,1,11,6854.3,18995.62
29,0,425,4,0,957.57,8582.0
30,0,425,4,2,3575.0,15400000.0
31,0,425,0,11,6791.0,20118.0
32,0,425,2,7,86.7,96.4
33,0,425,4,0,657.0,7968.0
34,0,425,4,2,3668.0,12700000.0
35,0,554,1,11,10695.8,31600.82
36,0,554,4,0,1524.0,10882.0
37,0,554,4,2,7060.0,26830000.0
38,0,554,1,11,10509.37,30760.7
39,0,554,4,0,1530.0,11558.0
40,0,554,4,2,7110.0,26660000.0
41,0,554,1,11,10681.98,29119.66
42,0,554,4,0,1912.1,17374.4
43,0,554,4,2,7156.7,34750000.0
44,0,554,1,11,8683.38,25870.98
45,0,554,4,0,1656.8,10251.13
46,0,554,4,2,7050.45,26430000.0
47,0,554,1,11,921.87,2539.64
48,0,554,4,0,483.0,4150.0
49,0,554,4,2,3483.09,14190000.0
50,0,554,0,11,1595.5,3788.0
51,0,554,2,7,73.0,253.0
52,0,554,4,0,360.0,5517.0
53,0,554,4,2,3540.0,11000000.0
